Operator,Description,Parameters
RN,Railroad Name,Pennsylvania Railroad	Allegheny Region	Western Pennsylvania
TD,Train Description,
VT,Valid,1938-12-12T19:55:35.699+00:00
PRNTR,Printer Name,
TN,Track Name,71
PE,Pick Up Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
SE,Set Out Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
PC,Pick Up Cars
operator,road,number,type,length,weight,load,load type,hazardous,color,kernel,kernel size,owner,location,track,destination,destination track,final destination,final destination track,comment,set out message,pick up message,return when empty
SC,Set Out Cars
operator,road,number,type,length,weight,load,load type,hazardous,color,kernel,kernel size,owner,location,track,destination,destination track,final destination,final destination track,comment,set out message,pick up message,return when empty
TN,Track Name,72
PE,Pick Up Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
SE,Set Out Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
PC,Pick Up Cars
operator,road,number,type,length,weight,load,load type,hazardous,color,kernel,kernel size,owner,location,track,destination,destination track,final destination,final destination track,comment,set out message,pick up message,return when empty
SC,Set Out Cars
operator,road,number,type,length,weight,load,load type,hazardous,color,kernel,kernel size,owner,location,track,destination,destination track,final destination,final destination track,comment,set out message,pick up message,return when empty
TN,Track Name,73
PE,Pick Up Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
SE,Set Out Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
PC,Pick Up Cars
operator,road,number,type,length,weight,load,load type,hazardous,color,kernel,kernel size,owner,location,track,destination,destination track,final destination,final destination track,comment,set out message,pick up message,return when empty
PC,P&R,7375,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,,,,,,,
PC,P&R,5960,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,,,,,,,
PC,P&R,6575,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,,,,,,,
PC,B&O,5501,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,,,,,,,
PC,PGCC,2474,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,B&O,4601,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,PRR,0672,TM,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,B&O,3864,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,B&O,7676,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,PRR,4472,TM,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,CS,5997,GB,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,AT&SF,9192,GB,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,SP,7403,GB,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,TCX,5207,TM,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,PRR,2238,FM,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,B&O,6073,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,B&O,6457,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,PRR,6446,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,B&A,5360,FM,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,PGCC,7891,HK,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,TELX,8870,TM,40,0,Empty,empty,0,Generic,,0,,City,73,,,Northton,,,,,,
PC,B&O,0125,XM,40,0,Goods,load,0,Generic,,0,,City,73,,,Northton,,,,,,
SC,Set Out Cars
operator,road,number,type,length,weight,load,load type,hazardous,color,kernel,kernel size,owner,location,track,destination,destination track,final destination,final destination track,comment,set out message,pick up message,return when empty
TN,Track Name,74
PE,Pick Up Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
PE,PRR,069,ESS,B6s,40,0,Single,Generic,,City,74,,,,
SE,Set Out Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
PC,Pick Up Cars
operator,road,number,type,length,weight,load,load type,hazardous,color,kernel,kernel size,owner,location,track,destination,destination track,final destination,final destination track,comment,set out message,pick up message,return when empty
PC,P&R,3532,GB,40,0,Empty,empty,0,Generic,,0,,City,74,,,Downtown,Ash,,,,,
PC,PRR,1237,GB,40,0,Empty,empty,0,Generic,,0,,City,74,,,Junction,Steel Products,,,,,
PC,PRR,5042,XM,40,0,Empty,empty,0,Generic,,0,,City,74,,,Junction,Steel Products,,,,,
PC,NYC,7571,GB,40,0,sand,load,0,Generic,,0,,City,74,,,Downtown,Sand,,,,,
PC,SP,2996,GB,40,0,Tarp,load,0,Generic,,0,,City,74,,,Downtown,Gantry Crane,,,,,
PC,CNJ,2995,GB,40,0,Tarp3,load,0,Generic,,0,,City,74,,,Downtown,Gantry Crane,,,,,
PC,PL,7266,XM,40,0,Merchandise,load,0,Generic,,0,,City,74,,,Downtown,General Delivery,,,,,
PC,B&O,4021,XM,40,0,Merchandise,load,0,Generic,,0,,City,74,,,Downtown,General Delivery,,,,,
PC,LV,7577,XM,40,0,Merchandise,load,0,Generic,,0,,City,74,,,Downtown,General Delivery,,,,,
PC,PL,5884,XM,40,0,Merchandise,load,0,Generic,,0,,City,74,,,Downtown,General Delivery,,,,,
PC,NYNH&H,4979,XM,40,0,Merchandise,load,0,Generic,,0,,City,74,,,Downtown,General Delivery,,,,,
PC,CS,5888,GB,40,0,Tarp,load,0,Generic,,0,,City,74,,,Downtown,General Delivery,,,,,
PC,B&A,3657,GB,40,0,Tarp,load,0,Generic,,0,,City,74,,,Downtown,General Delivery,,,,,
PC,DL&W,5996,XM,40,0,Merchandise,load,0,Generic,,0,,City,74,,,Downtown,General Delivery,,,,,
PC,PGCC,9109,HK,40,0,coal2,load,0,Generic,,0,,City,74,,,Junction,Coal,,,,,
PC,WCC,1472,HK,40,0,coal2,load,0,Generic,,0,,City,74,,,Junction,Coal,,,,,
PC,PRR,7396,HK,40,0,coal2,load,0,Generic,,0,,City,74,,,Valley,Coal,,,,,
PC,B&O,9336,HK,40,0,coal2,load,0,Generic,,0,,City,74,,,Valley,Coal,,,,,
SC,Set Out Cars
operator,road,number,type,length,weight,load,load type,hazardous,color,kernel,kernel size,owner,location,track,destination,destination track,final destination,final destination track,comment,set out message,pick up message,return when empty
TN,Track Name,75
PE,Pick Up Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
SE,Set Out Engines
operator,road,number,type,model,length,weight,consist,color,owner,location,track,destination,destination track,comment
PC,Pick Up Cars
operator,road,number,type,length,weight,load,load type,hazardous,color,kernel,kernel size,owner,location,track,destination,destination track,final destination,final destination track,comment,set out message,pick up message,return when empty
PC,P&R,2756,XM,40,0,LCL,load,0,Generic,,0,,City,75,,,Park,Depot,,,,,
PC,PRR,6999,FM,40,0,lumber stack,load,0,Generic,,0,,City,75,,,Park,Lumber,,,,,
PC,P&R,1315,XM,40,0,LCL,load,0,Generic,,0,,City,75,,,Park,Depot,,,,,
PC,WJ&S,8765,XM,40,0,Merchandise,load,0,Generic,,0,,City,75,,,Park,Freight House,,,,,
PC,WJ&S,2774,XM,40,0,Merchandise,load,0,Generic,,0,,City,75,,,Park,General Delivery,,,,,
PC,NYNH&H,8947,XM,40,0,Merchandise,load,0,Generic,,0,,City,75,,,Park,Freight House,,,,,
PC,PRR,8322,XM,40,0,Merchandise,load,0,Generic,,0,,City,75,,,Park,General Delivery,,,,,
PC,ACL,7836,GB,40,0,Milled timber,load,0,Generic,,0,,City,75,,,Park,Lumber,,,,,
PC,ACL,0360,XM,40,0,LCL,load,0,Generic,,0,,City,75,,,Park,Depot,,,,,
PC,ER,3741,XM,40,0,Merchandise,load,0,Generic,,0,,City,75,,,Park,Freight House,,,,,
PC,ACL,3944,XM,40,0,Merchandise,load,0,Generic,,0,,City,75,,,Park,General Delivery,,,,,
PC,UTLX,7588,TM,40,0,fuel,load,0,Generic,,0,,City,75,,,Park,Fuel Oil,,,,,
PC,PRR,2643,FM,40,0,Tarp3,load,0,Generic,,0,,City,75,,,Park,General Delivery,,,,,
PC,TELX,0113,TM,40,0,fuel,load,0,Generic,,0,,City,75,,,Park,Fuel Oil,,,,,
PC,ACL,2039,XM,40,0,Merchandise,load,0,Generic,,0,,City,75,,,Park,Freight House,,,,,
PC,B&O,5413,XM,40,0,Merchandise,load,0,Generic,,0,,City,75,,,Park,Freight House,,,,,
PC,ER,5365,GB,40,0,Tarp,load,0,Generic,,0,,City,75,,,Park,General Delivery,,,,,
PC,ACL,6195,GB,40,0,Tarp,load,0,Generic,,0,,City,75,,,Park,General Delivery,,,,,
PC,B&A,2122,XM,40,0,Merchandise,load,0,Generic,,0,,City,75,,,Park,Freight House,,,,,
SC,Set Out Cars
operator,road,number,type,length,weight,load,load type,hazardous,color,kernel,kernel size,owner,location,track,destination,destination track,final destination,final destination track,comment,set out message,pick up message,return when empty
